account,full_name,title,linkedin_url
Fidelity Investments,Gina Giordano Sroka,"Director, Carrier Management & Client Service Operations  [no LinkedIn URL yet]",
Fidelity Investments,Dave Wilson,"Director, Operations Analysis  [no LinkedIn URL yet]",
Fidelity Investments,Ken K.,Director Perimeter Operations  [no LinkedIn URL yet],
Fidelity Investments,Goran Galic,"Director, Fraud Detection Operations  [no LinkedIn URL yet]",
Fidelity Investments,Max Swanson,"Director, Equity Trading Operations - FMR  [no LinkedIn URL yet]",
Fidelity Investments,Richard Houdek,Finance Director II - Financial Operations - Corporate Services  [no LinkedIn URL yet],
Fidelity Investments,Varda Carbley,Director Of Operations  [no LinkedIn URL yet],
Fidelity Investments,Shelley Olschefski,Director of Operations  [no LinkedIn URL yet],
Fidelity Investments,Alicia Koerber,Director of Operations  [no LinkedIn URL yet],
Fidelity Investments,Heidi Landgrave,"Director, Healthcare Card Operations  [no LinkedIn URL yet]",
Fidelity Investments,Pedro Ponce,"Director, Accounting Operations  [no LinkedIn URL yet]",
Fidelity Investments,Todd Spencer,"Director, Advanced Resiliency Operations  [no LinkedIn URL yet]",
Fidelity Investments,Michael Lecourt,"Director, Human Resources Operations  [no LinkedIn URL yet]",
Fidelity Investments,Steven Bellemare,Director of Institutional Product Operations  [no LinkedIn URL yet],
Fidelity Investments,Amy Lavieri,"Director, Investment Operations  [no LinkedIn URL yet]",
Fidelity Investments,Alan Wallerce,Director of Trade Operations  [no LinkedIn URL yet],
Fidelity Investments,Lisa Ellison,Director Of Operations Real Time Exectuion  [no LinkedIn URL yet],
Fidelity Investments,Roman Gitis,"Director, Process Improvement  [no LinkedIn URL yet]",
Fidelity Investments,George Bogner,Director - CICS & MQ Performance and Capacity Planning  [no LinkedIn URL yet],
Fidelity Investments,George Gundling,"Director, Fraud Detection Operations  [no LinkedIn URL yet]",
Fidelity Investments,Ashley Savitt,"Director, Business Management & Operations  [no LinkedIn URL yet]",
Fidelity Investments,Kevin Lonneman,"Director, Global Workforce Optimization  [no LinkedIn URL yet]",
Fidelity Investments,Mike Murphy,Annuity Product Operations Director  [no LinkedIn URL yet],
Fidelity Investments,Robin Littlefield,Director Of DB Operations  [no LinkedIn URL yet],
Fidelity Investments,Taylor Kalmes,"Director, Reimbursement Operations & Service Readiness  [no LinkedIn URL yet]",
Fidelity Investments,Barbara Bouley,Director of Operations  [no LinkedIn URL yet],
Fidelity Investments,Marc Spitzner,"Director, Investment Operations  [no LinkedIn URL yet]",
Fidelity Investments,Kelon Joseph,"Director, Transfer Agent Operations  [no LinkedIn URL yet]",
Fidelity Investments,Valentine C.,"Director, Trust Business Operations, Fidelity Personal Trust Company, FSB  [no LinkedIn URL yet]",
Fidelity Investments,"Richard Arms, CFA","Director, Loan Agency Operations  [no LinkedIn URL yet]",
Fidelity Investments,Nicole Draughon,"Director, Workforce Planning and Operations  [no LinkedIn URL yet]",
