account_name,vertical,industry_raw,bo_priority,primary_function,product_angle,personas,contact_cap,universe,install_base,fo_risk_flag,owner_cleared,total_licenses,active_customer_date,source,sourced_date
Southern California Edison Company,Utilities,Utilities,2,Billing / Service-order processing,Back Office Optimizer,bo_shared;coo_finance,2,install_base,TRUE,FALSE,FALSE,500,6/28/2016,SF Active Customers Jul10,2026-07-13
Amazon,Retail,Retail,3,Order mgmt / Returns / Fulfillment exceptions,Back Office Optimizer,bo_shared,1,install_base,TRUE,FALSE,FALSE,250,2/19/2024,SF Active Customers Jul10,2026-07-13
Cox Automotive,Retail,Retail,3,Order mgmt / Returns / Fulfillment exceptions,Back Office Optimizer,bo_shared,1,install_base,TRUE,FALSE,FALSE,,1/16/2025,SF Active Customers Jul10,2026-07-13
The Home Depot,Retail,Retail,3,Order mgmt / Returns / Fulfillment exceptions,Back Office Optimizer,bo_shared,1,install_base,TRUE,FALSE,FALSE,3055,1/27/2023,SF Active Customers Jul10,2026-07-13
ADT,Review,Other,3,Review (vertical unmapped),Back Office Optimizer,bo_shared,1,install_base,TRUE,FALSE,FALSE,490,10/26/2020,SF Active Customers Jul10,2026-07-13
Anthology,Review,Other,3,Review (vertical unmapped),Back Office Optimizer,bo_shared,1,install_base,TRUE,FALSE,FALSE,750,3/1/2017,SF Active Customers Jul10,2026-07-13
MSH Reimbursement,Review,,3,Review (vertical unmapped),Back Office Optimizer,bo_shared,1,install_base,TRUE,FALSE,FALSE,,,SF Active Customers Jul10,2026-07-13
PG&E TSC,Review,,3,Review (vertical unmapped),Back Office Optimizer,bo_shared,1,install_base,TRUE,FALSE,FALSE,,,SF Active Customers Jul10,2026-07-13
AccorHotels,Travel,Travel,3,Booking servicing / Back-office exceptions,Back Office Optimizer,bo_shared,1,install_base,TRUE,FALSE,FALSE,190,11/18/2015,SF Active Customers Jul10,2026-07-13
American Express Global Business Travel,Travel,Travel,3,Booking servicing / Back-office exceptions,Back Office Optimizer,bo_shared,1,install_base,TRUE,FALSE,FALSE,2500,6/28/2019,SF Active Customers Jul10,2026-07-13
Southall Travel,Travel,Travel,3,Booking servicing / Back-office exceptions,Back Office Optimizer,bo_shared,1,install_base,TRUE,FALSE,FALSE,,,SF Active Customers Jul10,2026-07-13
